figure_id,title,figure_path_png,module,source_data,chapter,destination,smartboost_current_result,notes
F01,股票-月份有效分钟覆盖率,outputs/figures/01_data/fig_refined_coverage_heatmap.png,diagnostics/data,data_intermediate/stage1_model_ready/coverage_by_code_date.csv,第3章 数据,正文,不适用,按 code 总覆盖率排序，颜色为 code-month 平均有效分钟覆盖率。
F02,按交易所/指数分组的覆盖率摘要,outputs/figures/01_data/fig_coverage_by_exchange_summary.png,diagnostics/data,data_intermediate/stage1_model_ready/coverage_by_code_date.csv,第3章 数据,附录,不适用,辅助检查不同交易所与指数样本覆盖差异。
F03,LSI 日内模式,outputs/figures/02_lsi/fig_refined_lsi_intraday.png,MarketLSI/LSI,data_intermediate/stage2_lsi_labels/lsi_labels_by_code/*.parquet,第4章 LSI与标签,正文,不适用,展示均值、中位数及分位带；关键时点为开盘、午后开盘和尾盘。
F04,分阶段 LSI 日内模式,outputs/figures/02_lsi/fig_lsi_intraday_by_stage.png,MarketLSI/LSI,data_intermediate/stage2_lsi_labels/lsi_labels_by_code/*.parquet,第4章 LSI与标签,附录/正文备选,不适用,监管阶段仅作为时间分段背景，不表示因果识别。
F05,市场压力指数（MarketLSI）时间序列,outputs/figures/02_lsi/fig_refined_market_lsi_timeseries.png,MarketLSI/LSI,data_intermediate/stage2_lsi_labels/market_context.parquet,第4章 LSI与标签,正文,不适用,日度聚合与滚动均值；阶段阴影仅为时间背景。
F06,MarketLSI 分阶段分布,outputs/figures/02_lsi/fig_market_lsi_stage_distribution.png,MarketLSI/LSI,data_intermediate/stage2_lsi_labels/market_context.parquet,第4章 LSI与标签,正文/附录,不适用,分阶段描述性比较，不表示严格因果识别。
F07,极端 MarketLSI 分钟的日内分布,outputs/figures/02_lsi/fig_market_lsi_extreme_slot_distribution.png,MarketLSI/LSI,data_intermediate/stage2_lsi_labels/market_context.parquet,第4章 LSI与标签,附录,不适用,用于观察极端压力分钟在日内的集中位置。
F08,RGARCH-CARR-SK 条件压力风险路径,outputs/figures/04_rgarch/fig_rgarch_carr_sk_adapted_conditional_risk.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文,不适用,选用样本外 R2LOG 较优模型；展示条件风险、realized pressure 和训练期阈值。
F09,条件压力风险 lambda_t 路径,outputs/figures/04_rgarch/fig_rgarch_conditional_risk_path.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文,不适用,单独展示条件压力风险主线，避免与 realized measure 叠加过密。
F10,RGARCH-CARR-SK 动态偏度与动态峰度,outputs/figures/04_rgarch/fig_rgarch_dynamic_skew_kurtosis.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文,不适用,模型隐含高阶矩路径，不解释为 realized sample moment。
