figure_id,title,figure_path_png,figure_path_pdf,source_table,section,destination,uses_current_smartboost,contains_crossstress,notes
fig_01_coverage_heatmap,股票-月份有效分钟覆盖率,outputs/figures/99_paper_ready/fig_01_coverage_heatmap.png,outputs/figures/99_paper_ready/fig_01_coverage_heatmap.pdf,data_intermediate/stage2_lsi_labels/lsi_labels_by_code/*.parquet,第3章 数据,正文,no,no,按 code-month 聚合 valid_minutes/240；不读取原始预处理数据。
fig_02_lsi_intraday_pattern,LSI 日内模式,outputs/figures/99_paper_ready/fig_02_lsi_intraday_pattern.png,outputs/figures/99_paper_ready/fig_02_lsi_intraday_pattern.pdf,data_intermediate/stage2_lsi_labels/lsi_labels_by_code/*.parquet,第4章 LSI与标签,正文,no,no,分位带来自每只股票确定性抽样；均值为 slot 聚合。
fig_03_market_lsi_time_series,市场压力指数（MarketLSI）时间序列,outputs/figures/99_paper_ready/fig_03_market_lsi_time_series.png,outputs/figures/99_paper_ready/fig_03_market_lsi_time_series.pdf,data_intermediate/stage2_lsi_labels/market_context.parquet,第4章 LSI与标签,正文,no,no,监管阶段仅作为时间分段背景，不表示因果识别。
fig_04_rgarch_conditional_pressure_risk,RGARCH-CARR-SK 条件压力风险路径,outputs/figures/99_paper_ready/fig_04_rgarch_conditional_pressure_risk.png,outputs/figures/99_paper_ready/fig_04_rgarch_conditional_pressure_risk.pdf,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文,no,no,使用 RMAD 版本；周度均值避免过密路径。
fig_05_rgarch_dynamic_skew_kurtosis,RGARCH-CARR-SK 动态偏度与动态峰度,outputs/figures/99_paper_ready/fig_05_rgarch_dynamic_skew_kurtosis.png,outputs/figures/99_paper_ready/fig_05_rgarch_dynamic_skew_kurtosis.pdf,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文,no,no,10日滚动均值；动态高阶矩为模型隐含路径。
fig_06_rgarch_realized_pressure_measures,realized pressure measures 对比,outputs/figures/99_paper_ready/fig_06_rgarch_realized_pressure_measures.png,outputs/figures/99_paper_ready/fig_06_rgarch_realized_pressure_measures.pdf,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_realized_pressure_measures.csv,第6章 RGARCH-CARR-SK,正文/附录,no,no,使用标准化 log measure 避免不同量纲混画。
fig_07_qvar_tail_quantile_response,QVAR 尾部分位响应,outputs/figures/99_paper_ready/fig_07_qvar_tail_quantile_response.png,outputs/figures/99_paper_ready/fig_07_qvar_tail_quantile_response.pdf,outputs/tables/05_qvar/qvar_tail_quantile_response.csv,第7章 QVAR,正文,no,no,选择 MarketLSI shock；图注需说明这是尾部分位传导，不是严格因果识别。
fig_08_qvar_pressure_test_scenarios,QVAR 压力测试情景,outputs/figures/99_paper_ready/fig_08_qvar_pressure_test_scenarios.png,outputs/figures/99_paper_ready/fig_08_qvar_pressure_test_scenarios.pdf,outputs/tables/05_qvar/qvar_pressure_test_paths.csv,第7章 QVAR,正文,no,no,现有表只含可用情景；未伪造四类指定情景。
fig_09_smartboost_pr_curve,SMARTBoost 样本外 PR 曲线,outputs/figures/99_paper_ready/fig_09_smartboost_pr_curve.png,outputs/figures/99_paper_ready/fig_09_smartboost_pr_curve.pdf,outputs/tables/06_smartboost/predictions_by_code/*.parquet; smartboost_metrics.csv,第8章 SMARTBoost,正文,yes,no,使用剔除 CrossStress 后的预测概率；基准线为测试期事件率。
fig_10_smartboost_roc_curve,SMARTBoost 样本外 ROC 曲线,outputs/figures/99_paper_ready/fig_10_smartboost_roc_curve.png,outputs/figures/99_paper_ready/fig_10_smartboost_roc_curve.pdf,outputs/tables/06_smartboost/predictions_by_code/*.parquet; smartboost_metrics.csv,第8章 SMARTBoost,附录,yes,no,ROC 为辅助图，不替代 PR 曲线作为主证据。
fig_11_smartboost_calibration_curve,SMARTBoost Calibration 曲线,outputs/figures/99_paper_ready/fig_11_smartboost_calibration_curve.png,outputs/figures/99_paper_ready/fig_11_smartboost_calibration_curve.pdf,outputs/tables/06_smartboost/smartboost_calibration_table.csv,第8章 SMARTBoost,正文/附录,yes,no,
fig_12_smartboost_top5_event_rate,SMARTBoost Top 5% 高风险组真实压力发生率,outputs/figures/99_paper_ready/fig_12_smartboost_top5_event_rate.png,outputs/figures/99_paper_ready/fig_12_smartboost_top5_event_rate.pdf,outputs/tables/06_smartboost/smartboost_event_rate_and_lift.csv,第8章 SMARTBoost,正文,yes,no,柱上标注 Top 5% 真实压力发生率与 lift。
fig_13_smartboost_partial_effects,SMARTBoost Partial Effects,outputs/figures/99_paper_ready/fig_13_smartboost_partial_effects.png,outputs/figures/99_paper_ready/fig_13_smartboost_partial_effects.pdf,outputs/tables/06_smartboost/smartboost_partial_effects.csv,第8章 SMARTBoost,正文/附录,yes,no,仅保留4个当前无泄漏核心变量；不包含 CrossStress。
